path,.,_id,imageUrl,annotation,brush,annotation.0
interface,"{""type"":""image_classification"",""labels"":[{""id"":""stationary"",""description"":""""},{""id"":""go-forward"",""description"":""""},{""id"":""go-backward""},{""id"":""go-left""},{""id"":""go-right""}]}",,,,,
samples.0,,sbhbvykyl,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_001_img_000000025_c0.png,go-right,complete,
samples.1,,s2xlkk2go,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_002_img_000000025_c0.png,go-backward,complete,
samples.2,,sr8jhbwr8,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_003_img_000000025_c0.png,go-backward,complete,
samples.3,,sok2vpbhk,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_004_img_000000025_c0.png,stationary,complete,
samples.4,,s2ok984db,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_005_img_000000025_c0.png,go-right,complete,
samples.5,,sz12603ck,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_006_img_000000000_c0.png,stationary,complete,
samples.6,,s2dys7xfl,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_007_img_000000001_c0.png,go-forward,complete,
samples.7,,sr39h1odn,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_008_img_000000001_c0.png,stationary,complete,
samples.8,,slq1bu0gp,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_009_img_000000001_c0.png,go-backward,complete,
samples.9,,shicmetyn,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_010_img_000000001_c0.png,stationary,complete,
samples.10,,spojb8n9f,file:///Users/michal/Documents/Study/MSc/Diploma project/Codes/my_model/datasets/PedCut2013_SegmentationDataset/data/completeData/left_images/nr_011_img_000000002_c0.png,go-left,complete,
